time_us, pwm, position, angle
968573926, 0, -0.112753, -3.3615
968583926, 0, -0.112753, -3.34265
968593926, 0, -0.112753, -3.32695
968603926, 0, -0.112753, -3.31124
968613926, 0, -0.112753, -3.29553
968623926, 0, -0.112753, -3.28139
968633926, 0, -0.112753, -3.26411
968643926, 0, -0.112753, -3.24998
968653926, 0, -0.112753, -3.23584
968663926, 0, -0.112753, -3.2217
968673926, 0, -0.112753, -3.20757
968683926, 0, -0.112753, -3.19343
968693926, 0, -0.112753, -3.17929
968703926, 0, -0.112753, -3.16515
968713926, 0, -0.112753, -3.15259
968723926, 0, -0.112753, -3.13845
968733926, 0, -0.112753, -3.12431
968743926, 0, -0.112753, -3.11175
968753926, 0, -0.112753, -3.09761
968763926, 0, -0.112753, -3.08347
968773926, 0, -0.112753, -3.07091
968783926, 0, -0.112753, -3.0552
968793926, 0, -0.112753, -3.04263
968803926, 0, -0.112753, -3.02692
968813926, 0, -0.112753, -3.01279
968823926, 0, -0.112753, -2.99865
968833926, 0, -0.112753, -2.98294
968843926, 0, -0.112753, -2.96723
968853926, 0, -0.112753, -2.9531
968863926, 0, -0.112753, -2.93739
968873926, 0, -0.112753, -2.92011
968883926, 0, -0.112753, -2.90283
968893926, 0, -0.112753, -2.88555
968903926, 0, -0.112753, -2.8667
968913926, 0, -0.112753, -2.84942
968923926, 0, -0.112753, -2.829
968933926, 0, -0.112753, -2.80858
968943926, 0, -0.112753, -2.78816
968953926, 0, -0.112753, -2.76617
968963926, 0, -0.112753, -2.74575
968973926, 0, -0.112753, -2.72219
968983926, 0, -0.112753, -2.69706
968993926, 0, -0.112753, -2.6735
969003926, 0, -0.112753, -2.64679
969013926, 0, -0.112753, -2.62009
969023926, 0, -0.112753, -2.59181
969033926, 0, -0.112753, -2.56197
969043926, 0, -0.112753, -2.53212
969053926, 0, -0.112753, -2.50071
969063926, 0, -0.112753, -2.46772
969073926, 0, -0.112753, -2.43473
969083926, 0, -0.112753, -2.39861
969093926, 0, -0.112753, -2.36091
969103926, 0, -0.112753, -2.32321
969113926, 0, -0.112753, -2.28237
969123926, 0, -0.112753, -2.24153
969133926, 0, -0.112753, -2.19754
969143926, 0, -0.112753, -2.15199
969153926, 0, -0.112753, -2.10958
969163926, 0, -0.112753, -2.06246
969173926, 0, -0.112753, -2.01062
969183926, 0, -0.112753, -1.95878
969193926, 0, -0.112753, -1.90538
969203926, 0, -0.112753, -1.84726
969213926, 0, -0.112753, -1.78914
969223926, 0, -0.112753, -1.72945
969233926, 0, -0.112753, -1.66661
969243926, 0, -0.112753, -1.60221
969253926, 0, -0.112753, -1.53467
969263926, 0, -0.112753, -1.46712
969273926, 0, -0.112664, -1.39487
969283926, 0, -0.112514, -1.32261
969293926, 0, -0.112414, -1.24721
969303926, 0, -0.112324, -1.17024
969313926, 0, -0.112255, -1.0917
969323926, 0, -0.112215, -1.01002
969333926, 0, -0.112195, -0.92677
969343926, 0, -0.112175, -0.843518
969353926, 0, -0.112135, -0.757124
969363926, 0, -0.112095, -0.669159
969373926, 0, -0.112065, -0.581195
969383926, 0, -0.112045, -0.491659
969393926, 0, -0.112035, -0.400553
969403926, 0, -0.112025, -0.317301
969413926, 0, -0.112025, -0.226195
969423926, 0, -0.112025, -0.133518
969433926, 0, -0.112025, -0.0408407
969443926, 0, -0.112025, 0.0518363
969453926, 0, -0.112025, 0.144513
969463926, 0, -0.112025, 0.235619
969473926, 0, -0.112025, 0.328296
969483926, 0, -0.112015, 0.417832
969493926, 0, -0.112015, 0.507367
969503926, 0, -0.112015, 0.596903
969513926, 0, -0.112005, 0.683296
969523926, 0, -0.112005, 0.768119
969533926, 0, -0.112005, 0.852942
969543926, 0, -0.112005, 0.934624
969553926, 0, -0.111995, 1.01631
969563926, 0, -0.111995, 1.09485
969573926, 0, -0.111985, 1.17181
969583926, 0, -0.111985, 1.24564
969593926, 0, -0.111985, 1.31947
969603926, 0, -0.111985, 1.39015
969613926, 0, -0.111985, 1.4577
969623926, 0, -0.111985, 1.52524
969633926, 0, -0.111985, 1.58808
969643926, 0, -0.111985, 1.64305
969653926, 0, -0.111985, 1.70274
969663926, 0, -0.111985, 1.75929
969673926, 0, -0.111985, 1.81584
969683926, 0, -0.111985, 1.86768
969693926, 0, -0.111985, 1.91951
969703926, 0, -0.111985, 1.96821
969713926, 0, -0.111985, 2.01533
969723926, 0, -0.111985, 2.05931
969733926, 0, -0.111985, 2.10173
969743926, 0, -0.111985, 2.14257
969753926, 0, -0.111985, 2.18184
969763926, 0, -0.111985, 2.21954
969773926, 0, -0.111985, 2.25409
969783926, 0, -0.111985, 2.28865
969793926, 0, -0.111985, 2.32007
969803926, 0, -0.111985, 2.34991
969813926, 0, -0.111985, 2.37976
